Handle,Assumed IH,Min IH,Optimistic IH
zeptimusq,660.2347961,464.125,884.3602774
santigs67,632.8552343,444.878,847.6863593
sembrestels,413.9809091,291.016,554.5122338
cranders71,405.9307745,285.357,543.729374
solsista,274.7913936,193.17,368.0729864
ygganderson,256.4676998,180.289,343.529071
akrtws,252.5941326,177.566,338.3405699
mateodaza,244.8825618,172.145,328.0112038
jessicazartler,194.8405695,136.967,260.9817918
iviangita,190.6184809,133.999,255.3264591
metaverde,184.7490949,129.873,247.464632
juankbell,176.9692423,124.404,237.0438049
durgadasji,176.0972274,123.791,235.8757729
tonga2020,153.8003888,108.117,206.009976
liviade,130.1620982,91.5,174.3473534
griffgreen,129.5817033,91.092,173.5699357
mzargham,127.7836171,89.828,171.1614651
naynaysoo,111.3348264,78.265,149.1289138
freedumbs00,107.741499,75.739,144.3157836
danlessa,106.8111601,75.085,143.0696287
sponnet2,100.5207033,70.663,134.6437927
sgonzt,98.42388432,69.189,131.8351807
simondlr,95.6783887,67.259,128.1576901
manualzuru,93.17614683,65.5,124.8060289
shawn_westrick,84.48018064,59.387,113.1581014
lkngtn,84.37918054,59.316,113.0228154
tannra,83.49578531,58.695,111.83954
tam2140,82.46017867,57.967,110.4523829
jeffemmett,80.62510647,56.677,107.994371
laurenluz,80.53121906,56.611,107.8686123
vegayp,79.17411915,55.657,106.0508267
Vyvy-vi#5040,75.35176332,52.97,100.9309214
merlinegalite,75.35034078,52.969,100.929016
danibelle,74.13833961,52.117,99.30558487
paulo_c2d,73.43418399,51.622,98.36239427
xgabi,72.22645043,50.773,96.74467948
vitormarthendal,71.66881608,50.381,95.99774875
markop,65.10096463,45.764,87.20035278
randomshinichi,62.81494833,44.157,84.13831785
benjaminscholtz,61.56738374,43.28,82.46725086
vntrp,59.65549456,41.936,79.90634548
hbesso31,57.90861962,40.708,77.56647061
wslyvh,56.46616751,39.694,75.63435896
rosamoc,56.36516742,39.623,75.49907304
divine_comedian,55.11049014,38.741,73.81847888
Mount Manu#3530,55.07919434,38.719,73.77655929
knobsdao,54.78472926,38.512,73.38213413
geleeroyale,54.52013746,38.326,73.02772312
trentmc0,50.17855577,35.274,67.2123338
niranb,50.03487958,35.173,67.01988481
willjgriff,49.89404846,35.074,66.83124669
loie_giveth,48.68346982,34.223,65.20972103
fiorebotta,47.93237049,33.695,64.20365106
blairv,46.99491888,33.036,62.94796903
tylerdmace,45.15984668,31.746,60.48995716
quartagiulio,44.40874735,31.218,59.48388719
daithic,43.39163369,30.503,58.12150076
fabimol,41.86382939,29.429,56.07506298
rdfbbx#6437,41.50392763,29.176,55.59298778
kristoferkristofer,41.37732187,29.087,55.42340402
aminlatifi,41.08001173,28.878,55.02516799
rubenrussel7,40.81968753,28.695,54.67647328
atacas,40.55225065,28.507,54.31825139
fabianvb,37.83947337,26.6,50.68458579
fvigevani,36.91340205,25.949,49.44414724
krisjones,36.00155609,25.308,48.22276305
fabiosmendes,35.73127414,25.118,47.8607303
krrisis,35.39271043,24.88,47.40723663
burrrata,33.4751311,23.532,44.8387095
rodrigouy,33.47228603,23.53,44.83489863
anjablaj,31.41956573,22.087,42.08535513
elihanover,31.14217109,21.892,41.71379519
jonathanbsci,28.39383039,19.96,38.0324937
abchewey,27.11070239,19.058,36.31379083
gracerachmany,26.44922287,18.593,35.42776329
jameszaki,25.30408091,17.788,33.89388767
chuygarcia92,25.29554569,17.782,33.88245506
felixfalafel,23.96262891,16.845,32.09706194
pacobacpac,23.23713524,16.335,31.12528981
heater03,23.05505056,16.207,30.88139406
vivszaid,22.18445816,15.595,29.7152675
pehkah,22.1119088,15.544,29.61809028
moritzfelipe#9923,21.75200704,15.291,29.13601509
upaul,21.63251397,15.207,28.9759585
sjdthree#8498,21.43904899,15.071,28.71681926
phil_h,21.34373904,15.004,28.58915508
dulcedu,21.23420372,14.927,28.44243654
marinam00,20.67087923,14.531,27.68788406
misterboyfriend,20.37641416,14.324,27.2934589
nikoline_nik,20.34938596,14.305,27.25725563
jonassft,19.14307493,13.457,25.64144628
simunstrukan,19.07052556,13.406,25.54426906
paxthemax,18.97806068,13.341,25.42041575
coachb,18.01500341,12.664,24.13043588
d8n13l,17.73049609,12.464,23.74934877
ludo_lb,17.49293248,12.297,23.43114103
jwaup,17.46305921,12.276,23.39112689
owocki,17.3108478,12.169,23.18724528
gfriis,17.07612926,12.004,22.87284841
katalenacaban,16.99362214,11.946,22.76233315
lbagic,15.88546613,11.167,21.27799885
existenialstoic,15.83425481,11.131,21.20940317
freddbomba,15.73609979,11.062,21.07792812
juliet_myea,15.69911384,11.036,21.0283868
papa_raw,15.1144513,10.625,20.24525278
crypt0dawg,14.93805676,10.501,20.00897877
markusbkoch#6770,14.90107081,10.475,19.95943745
dandigitally#2489,14.73463403,10.358,19.73650149
sergei_tran,14.45581686,10.162,19.36303612
rogervs,14.35197168,10.089,19.22393932
chriscyber,14.30787305,10.058,19.16487082
sepu85,14.2438589,10.013,19.07912622
auryn_macmillan,14.06035168,9.884,18.83332504
aaron_soskin,13.71183022,9.639,18.36649332
Letty#5399,13.61936534,9.574,18.24264001
katebee,12.61363197,8.867,16.89549708
boring877,12.35188524,8.683,16.54489693
baartch#5796,12.24092738,8.605,16.39627296
aidanbrodieo,11.40447586,8.017,15.27587685
luukdao,11.32196874,7.959,15.16536159
nelsonm,11.12281362,7.819,14.89860061
josiprajevic,11.00758816,7.738,14.74426033
jamessimbouras,10.73303859,7.545,14.37651127
unquale,10.65337654,7.489,14.26980688
rpp63,10.62634835,7.47,14.2336036
brutalfluffy,10.47698201,7.365,14.03353287
gyalbo,10.43999605,7.339,13.98399155
anthonyoliai,10.38451713,7.3,13.90967956
jakublanc,10.068714,7.078,13.48667287
glefevre,9.134107462,6.421,12.23480171
stephen_yo,8.907924144,6.262,11.93183745
xlcrr,8.762825412,6.16,11.73748302
dexVicente#4828,8.592121021,6.04,11.50883076
thebeautyway,8.368782775,5.883,11.20967738
solarpunk_girl,8.070050091,5.673,10.80953591
nukemandan,7.759937114,5.455,10.39415096
melvera,7.752824431,5.45,10.38462378
tokenbrice,7.597767942,5.341,10.1769313
sherminv,7.489655161,5.265,10.0321182
petheth,7.324640916,5.149,9.811087678
MehighCB#4516,7.24782394,5.095,9.708194158
luukweber,7.124063257,5.008,9.542421264
tjayrush,7.099880135,4.991,9.51002886
officialnico,6.495302083,4.566,8.700218749
cpt_grog,6.281921594,4.416,8.414403415
castall,6.264851155,4.404,8.391538189
krisparuch,6.263428618,4.403,8.389632753
chanate91,6.064273495,4.263,8.122871775
exiledsurfer,5.994569202,4.214,8.029505433
PaulaBerman#9915,5.870808518,4.127,7.86373254
andfletcher,5.855160616,4.116,7.842772749
willruddick,5.714329493,4.017,7.654134628
bierlingm,5.576343444,3.92,7.46930738
gagarine#9410,5.525132126,3.884,7.4007117
celineflash,5.496681395,3.864,7.362602988
morgangr,5.350160126,3.761,7.166343126
REOS#2250,5.320286857,3.74,7.126328979
adaptdao,5.165230368,3.631,6.918636504
sbilbao,5.160962759,3.628,6.912920197
ddan#2489,5.13108949,3.607,6.87290605
aleezagroks,5.098371149,3.584,6.829081033
antoniopaglino,5.081300709,3.572,6.806215806
codersinblack,4.977455538,3.499,6.66711901
smokyish,4.921976611,3.46,6.592807024
alexholman,4.907751245,3.45,6.573752668
rafaelcalcada#1402,4.75553983,3.343,6.369871064
LeonS#5914,4.75553983,3.343,6.369871064
thelastjosh,4.708596122,3.31,6.30699169
lanski13,4.700060903,3.304,6.295559077
Typto,4.614708707,3.244,6.181232944
staccop2p,4.55922978,3.205,6.106920957
jodisattva,4.552117097,3.2,6.097393779
nyanncatt,4.552117097,3.2,6.097393779
tawhuac,4.552117097,3.2,6.097393779
mehigher,4.539314268,3.191,6.080244859
pkk777,4.499483243,3.163,6.026892664
tze42,4.462497292,3.137,5.977351339
orishim,4.445426853,3.125,5.954486113
jelena_dragovic,4.435469096,3.118,5.941148064
